,Market_Beta,SMB_Loading,HML_Loading
Asset_1,0.9697912381548469,0.4263883435712639,0.5276368081456426
Asset_2,0.7161058531756611,0.41848213106806087,0.442545224238357
Asset_3,1.3524442172757074,0.3776968395923291,0.28073506218161587
Asset_4,0.43630571657385187,0.6575086648653731,-0.1471365184665441
Asset_5,0.9016614832367611,0.37069430410469706,-0.14534102743113614
Asset_6,0.9875019929855996,-0.1306457781983511,-0.08424803941900423
Asset_7,1.0047725975198893,-0.2962001835480258,0.09661470124092959
Asset_8,1.0541488168234243,-0.4042509613712259,0.049127402072628286
Asset_9,1.183131945942848,-0.17631855685117304,-0.11275909512087633
Asset_10,0.9893777682863948,-0.44549078494462363,0.2448586988174057
